degree,model,rmse_train,rmse_test,r2_train,r2_test
1,LinearRegression,1.4089226341190169,1.5018003254010535,0.8336742944949322,0.8180676512793962
1,SVR (RBF),0.3529540484972021,0.4039508963905562,0.9895619008539164,0.986837369486819
6,LinearRegression,0.5322776631103012,0.579348043331335,0.9762610467505083,0.9729252392809186
6,SVR (RBF),0.6845332848128945,0.8140433185824383,0.9607378369322175,0.9465459555775948
10,LinearRegression,0.2892975158380684,0.31756058335652804,0.992987473894364,0.9918653528398265
10,SVR (RBF),0.8227419280646385,0.9745555963134592,0.9432831186765293,0.9233876511538603
